Campaign_ID,Channel,Region,Campaign_Type,Ad_Spend,Impressions,Clicks,Leads,Conversions,Revenue,CTR,Lead_Rate,Conversion_Rate,ROI,ROAS
CMP0017,Social Media,South,Conversion,3257.77,32317,2501,705,32,7272.11,7.738960918402079,28.18872451019592,4.539007092198582,123.22355476292064,2.232235547629206
CMP0018,Google Ads,East,Conversion,3853.08,40665,3242,511,35,10871.12,7.972457887618345,15.761875385564467,6.8493150684931505,182.14104041442175,2.8214104041442174
CMP0019,Google Ads,West,Consideration,3727.07,42097,3348,510,27,9317.61,7.95306078817968,15.232974910394265,5.294117647058823,149.99825600270455,2.4999825600270453
CMP0020,Social Media,North,Conversion,2678.11,21654,1651,344,14,3880.0,7.624457375080816,20.835857056329495,4.069767441860465,44.878291033602046,1.4487829103360206
CMP0021,Facebook Ads,East,Awareness,4100.06,37537,2273,339,13,3401.38,6.0553587127367665,14.91421029476463,3.8348082595870205,-17.040726233274643,0.8295927376672536
CMP0022,Email,North,Conversion,877.07,7497,482,86,8,1863.28,6.429238362011472,17.842323651452283,9.30232558139535,112.44370460738592,2.1244370460738593
CMP0023,Social Media,South,Awareness,2478.89,20863,613,92,4,929.23,2.938215980443848,15.00815660685155,4.3478260869565215,-62.51427050010287,0.37485729499897136
CMP0024,Google Ads,South,Consideration,4560.64,54605,2776,457,31,9865.37,5.083783536306199,16.462536023054756,6.783369803063458,116.31547326690992,2.163154732669099
CMP0025,Google Ads,West,Conversion,3936.42,28421,1966,470,29,9633.32,6.917420217444848,23.90640895218718,6.170212765957447,144.7228700189512,2.447228700189512
CMP0026,Google Ads,South,Awareness,2811.4,33270,2000,552,23,5112.74,6.011421701232342,27.6,4.166666666666666,81.8574375755851,1.818574375755851
CMP0027,Social Media,South,Awareness,2467.78,25139,2041,259,9,2177.86,8.118859143164007,12.68985791278785,3.474903474903475,-11.7482109426286,0.882517890573714
CMP0028,Google Ads,East,Conversion,4171.86,52578,2311,488,21,5492.69,4.395374491232074,21.116399826914755,4.30327868852459,31.660458404644455,1.3166045840464444
CMP0029,Facebook Ads,North,Conversion,4193.78,40798,2282,474,21,4152.82,5.59341144173734,20.77125328659071,4.430379746835443,-0.9766845185012099,0.9902331548149879
CMP0030,Email,North,Consideration,1912.26,13729,596,147,9,2540.54,4.341175613664506,24.664429530201343,6.122448979591836,32.8553648562434,1.328553648562434
CMP0031,Facebook Ads,East,Conversion,3195.8,39017,1390,340,17,4415.5,3.562549657841454,24.46043165467626,5.0,38.16571750422429,1.3816571750422428
CMP0032,Email,West,Consideration,2420.15,26862,1472,340,33,9006.54,5.479860025314571,23.097826086956523,9.705882352941178,272.14800735491605,3.72148007354916
CMP0033,Email,North,Awareness,2158.19,17900,1155,220,19,4383.3,6.452513966480447,19.047619047619047,8.636363636363637,103.1007464588382,2.0310074645883818
CMP0034,Youtube Ads,South,Consideration,4733.3,51815,4402,566,33,8842.44,8.495609379523303,12.857791912766924,5.830388692579505,86.81342826357933,1.8681342826357932
CMP0035,Youtube Ads,North,Awareness,4125.59,42914,2974,827,34,8853.76,6.930139348464371,27.807666442501684,4.111245465538089,114.60591091213621,2.146059109121362
CMP0036,Instagram Ads,South,Conversion,3227.84,35524,2609,671,42,10525.77,7.344330593401644,25.71866615561518,6.259314456035768,226.0933007831863,3.260933007831863
CMP0037,Social Media,West,Consideration,2432.47,24974,632,112,5,1186.39,2.5306318571314166,17.72151898734177,4.464285714285714,-51.226942161671055,0.4877305783832895
CMP0038,Email,East,Consideration,1840.69,20565,993,199,13,3314.56,4.828592268417213,20.040281973816718,6.532663316582915,80.07160358343882,1.800716035834388
CMP0039,Facebook Ads,North,Consideration,4664.03,49984,2639,497,25,5674.23,5.279689500640205,18.83289124668435,5.030181086519115,21.659380407072852,1.2165938040707285
CMP0040,Google Ads,East,Conversion,4963.42,49014,1300,235,14,4017.73,2.6523034235116496,18.076923076923077,5.957446808510639,-19.053193161167098,0.809468068388329
CMP0041,Email,North,Awareness,2131.31,22693,1608,428,39,12010.15,7.085885515357158,26.616915422885572,9.11214953271028,463.51023548897155,5.635102354889716
CMP0042,Google Ads,South,Consideration,6044.45,42972,1579,191,13,4389.45,3.674485711626175,12.096263457884737,6.806282722513089,-27.38048953999123,0.7261951046000876
CMP0043,Email,East,Consideration,1833.76,13499,1094,200,12,3182.57,8.104304022520187,18.281535648994517,6.0,73.55433644533636,1.7355433644533638
CMP0044,Youtube Ads,North,Consideration,3856.06,32933,1386,242,13,3645.86,4.208544620896973,17.46031746031746,5.371900826446281,-5.451159992323766,0.9454884000767624
CMP0045,Social Media,South,Awareness,2913.24,32910,1361,264,9,1972.95,4.135521118201154,19.397501836884643,3.4090909090909087,-32.27643448531531,0.6772356551468469
CMP0046,Facebook Ads,East,Conversion,2582.32,28629,1027,220,10,1952.3,3.5872716476300255,21.421616358325217,4.545454545454546,-24.39744106075158,0.7560255893924842
CMP0047,Social Media,East,Conversion,1783.15,22784,1230,326,16,3322.35,5.398525280898876,26.504065040650403,4.9079754601226995,86.3191543055828,1.8631915430558281
CMP0048,Google Ads,North,Consideration,4533.0,48951,4018,917,70,23537.29,8.208208208208207,22.822299651567945,7.633587786259542,419.2431061107435,5.192431061107435
CMP0049,Facebook Ads,North,Conversion,3145.11,33545,1665,451,23,4926.91,4.963481889998509,27.087087087087085,5.099778270509978,56.65302644422611,1.566530264442261
CMP0050,Social Media,North,Conversion,2201.69,18540,1331,225,13,3114.72,7.179072276159655,16.9045830202855,5.777777777777778,41.469507514681894,1.4146950751468188
CMP0051,Youtube Ads,South,Conversion,3427.21,36819,1918,432,15,4487.02,5.209266954561503,22.523461939520335,3.4722222222222223,30.923404168405217,1.3092340416840522
CMP0052,Instagram Ads,North,Awareness,3150.66,38364,1458,200,7,1880.71,3.8004379105411323,13.717421124828533,3.5000000000000004,-40.30742765007966,0.5969257234992034
CMP0053,Youtube Ads,East,Consideration,4576.64,38405,1860,422,19,6134.07,4.8431193854966805,22.688172043010752,4.502369668246446,34.02998706474617,1.3402998706474618
CMP0054,Youtube Ads,East,Consideration,5451.79,42625,2843,548,23,6838.2,6.669794721407625,19.275413295814282,4.197080291970803,25.43036323849598,1.2543036323849597
CMP0055,Facebook Ads,North,Consideration,3968.7,34309,1021,138,7,1412.42,2.9758955376140372,13.516160626836434,5.072463768115942,-64.41101620177892,0.35588983798221085
CMP0056,Youtube Ads,North,Conversion,5043.13,45086,1740,319,10,2785.51,3.8592911325023285,18.333333333333332,3.1347962382445136,-44.766246358908056,0.5523375364109194
CMP0057,Email,West,Conversion,1875.75,23035,1475,318,22,5528.67,6.403299327110918,21.559322033898304,6.918238993710692,194.74450219912035,2.9474450219912036
CMP0058,Email,East,Conversion,1799.85,19828,1678,401,20,5307.49,8.462779907201936,23.897497020262218,4.987531172069826,194.88512931633193,2.9488512931633193
CMP0059,Email,South,Consideration,1571.58,16303,1344,203,18,4307.13,8.24388149420352,15.104166666666666,8.866995073891626,174.06368113618146,2.7406368113618145
CMP0060,Social Media,West,Awareness,2474.9,25281,778,156,9,2098.76,3.077409912582572,20.051413881748072,5.769230769230769,-15.198189825851543,0.8480181017414845
CMP0061,Google Ads,North,Conversion,5025.03,63129,2466,473,23,7986.45,3.9062871263603096,19.180859691808596,4.862579281183932,58.933379502211935,1.5893337950221194
CMP0062,Social Media,North,Conversion,2774.11,34848,2000,543,26,6665.91,5.73921028466483,27.150000000000002,4.788213627992634,140.2900389674526,2.4029003896745262
CMP0063,Instagram Ads,East,Awareness,3103.71,24104,1797,468,28,6038.59,7.4551941586458685,26.04340567612688,5.982905982905983,94.56038096342763,1.9456038096342765
CMP0064,Social Media,North,Conversion,2360.9,20820,849,156,5,1413.52,4.077809798270893,18.374558303886925,3.205128205128205,-40.12791731966623,0.5987208268033377
CMP0065,Social Media,South,Conversion,1673.71,15702,813,185,9,2531.06,5.177684371417654,22.75522755227552,4.864864864864865,51.224525156687825,1.5122452515668783
CMP0066,Facebook Ads,East,Consideration,3929.18,39220,3315,905,29,7501.02,8.452320244773075,27.300150829562593,3.2044198895027622,90.90548155085796,1.9090548155085796
CMP0067,Email,North,Consideration,1826.51,16956,1317,363,34,9958.35,7.767162066525124,27.5626423690205,9.366391184573002,445.21190686062494,5.452119068606249
CMP0068,Instagram Ads,East,Consideration,2946.6,26012,776,149,6,1639.85,2.9832385053052435,19.201030927835053,4.026845637583892,-44.34772279915835,0.5565227720084165
CMP0069,Email,North,Awareness,1809.13,19621,1458,209,20,6099.42,7.430813923857092,14.334705075445816,9.569377990430622,237.14658426978713,3.371465842697871
CMP0070,Youtube Ads,North,Consideration,3893.6,38633,2371,610,21,5816.84,6.137240183263013,25.727541121889498,3.4426229508196724,49.39490445859873,1.4939490445859873
CMP0071,Instagram Ads,North,Conversion,2424.84,22321,649,80,3,890.32,2.907575825455849,12.326656394453005,3.75,-63.28335065406377,0.36716649345936225
CMP0072,Social Media,South,Awareness,2362.65,24328,2017,399,16,3944.25,8.29085827030582,19.781854238968766,4.010025062656641,66.94178147419211,1.6694178147419212
CMP0073,Email,South,Consideration,1495.66,16220,615,142,12,2818.01,3.7916152897657214,23.089430894308943,8.450704225352112,88.41247342310419,1.8841247342310419
CMP0074,Instagram Ads,East,Consideration,2922.19,21531,1546,313,12,3594.61,7.180344619386002,20.245795601552395,3.8338658146964857,23.01082407372553,1.2301082407372552
CMP0075,Instagram Ads,North,Consideration,3080.28,39742,1563,227,9,2151.33,3.9328669920990387,14.5233525271913,3.9647577092511015,-30.15797265183685,0.6984202734816315
CMP0076,Instagram Ads,North,Conversion,2817.97,21434,1425,186,10,2997.11,6.648315760007464,13.052631578947368,5.376344086021505,6.3570584498770515,1.0635705844987706
CMP0077,Instagram Ads,South,Consideration,3235.95,28597,1785,383,19,4254.81,6.241913487428751,21.45658263305322,4.960835509138381,31.485653363000065,1.3148565336300007
CMP0078,Email,South,Consideration,2185.77,26927,1399,216,16,4138.97,5.195528651539347,15.439599714081487,7.4074074074074066,89.35981370409513,1.8935981370409514
CMP0079,Social Media,South,Conversion,2743.66,31869,817,159,7,1439.29,2.563619818632527,19.461444308445532,4.40251572327044,-47.541240532719065,0.5245875946728094
CMP0080,Email,North,Consideration,2045.97,17511,1236,178,14,3368.17,7.058420421449376,14.401294498381878,7.865168539325842,64.62460348880971,1.6462460348880972
CMP0081,Youtube Ads,East,Awareness,3889.25,29785,1723,347,19,4536.61,5.784791002182307,20.139291932675565,5.475504322766571,16.644854406376542,1.1664485440637655
CMP0082,Facebook Ads,North,Consideration,3975.38,39473,1342,239,11,2460.19,3.3997922630658937,17.80923994038748,4.602510460251046,-38.11434378600285,0.6188565621399715
CMP0083,Social Media,North,Awareness,1882.64,18368,1324,371,23,6212.3,7.208188153310105,28.02114803625378,6.199460916442049,229.9781158373348,3.299781158373348
CMP0084,Email,West,Awareness,1277.21,11357,752,149,10,2975.19,6.621466936691027,19.81382978723404,6.7114093959731544,132.94446488831124,2.329444648883112
CMP0085,Social Media,South,Consideration,3470.79,38026,2992,701,36,7545.56,7.868300636406669,23.42914438502674,5.1355206847360915,117.40180189524577,2.1740180189524576
CMP0086,Social Media,North,Consideration,2227.43,22520,765,193,9,2350.25,3.396980461811723,25.22875816993464,4.66321243523316,5.51397799257441,1.055139779925744
CMP0087,Instagram Ads,North,Conversion,2802.73,20817,535,156,9,2190.69,2.5700148916750734,29.1588785046729,5.769230769230769,-21.837280080492945,0.7816271991950705
CMP0088,Facebook Ads,West,Consideration,3719.67,32655,1501,389,17,3421.42,4.5965395804624105,25.916055962691537,4.370179948586118,-8.018184408831965,0.9198181559116804
CMP0089,Youtube Ads,West,Consideration,4732.36,40652,1067,143,8,2059.36,2.6247171110892453,13.402061855670103,5.594405594405594,-56.4834458916904,0.435165541083096
CMP0090,Google Ads,South,Consideration,4743.53,55097,3442,649,33,8541.08,6.247164092418825,18.85531667635096,5.084745762711865,80.05746775081006,1.8005746775081006
CMP0091,Email,West,Awareness,2230.33,24229,1376,175,18,5286.29,5.679144826447645,12.718023255813954,10.285714285714285,137.01828877341023,2.370182887734102
CMP0092,Instagram Ads,East,Conversion,3300.36,28901,2421,552,31,8616.65,8.376872772568424,22.800495662949196,5.615942028985507,161.08212437431064,2.6108212437431066
CMP0093,Instagram Ads,West,Awareness,3290.68,25563,1157,332,14,3430.9,4.526072839651058,28.69490060501296,4.216867469879518,4.2611253601079495,1.0426112536010794
CMP0094,Facebook Ads,East,Conversion,4294.98,41199,2116,487,25,5138.33,5.136046991431831,23.015122873345938,5.133470225872689,19.635714252452875,1.1963571425245287
CMP0095,Instagram Ads,South,Awareness,2880.52,35492,2262,387,25,7196.75,6.3732672151470755,17.108753315649867,6.459948320413436,149.84204240900948,2.498420424090095
CMP0096,Google Ads,South,Consideration,3990.73,48204,3862,638,47,13782.5,8.011783254501701,16.519937856033142,7.366771159874608,245.36287847085623,3.4536287847085623
CMP0097,Google Ads,South,Awareness,4571.18,53293,3430,521,34,11779.1,6.4361173137184995,15.189504373177842,6.525911708253358,157.68182394917721,2.5768182394917725
CMP0098,Google Ads,South,Conversion,4755.57,60035,1656,247,12,3842.24,2.7583909386191388,14.915458937198068,4.8582995951417,-19.20547904877859,0.807945209512214
CMP0099,Email,South,Consideration,1628.73,16344,1233,310,25,6868.04,7.544052863436123,25.141930251419303,8.064516129032258,321.68069600240676,4.216806960024067
CMP0100,Email,East,Consideration,1989.98,19999,857,190,17,5108.03,4.285214260713036,22.170361726954493,8.947368421052632,156.6875043970291,2.566875043970291
CMP0101,Email,East,Awareness,2217.88,17655,930,113,7,2009.76,5.267629566694987,12.150537634408602,6.1946902654867255,-9.383735819791879,0.9061626418020812
CMP0102,Facebook Ads,South,Conversion,4036.22,52272,1617,310,15,3040.66,3.0934343434343434,19.1713048855906,4.838709677419355,-24.665652516463425,0.7533434748353658
CMP0103,Social Media,West,Awareness,3251.46,34777,1261,231,13,3257.22,3.625959685999367,18.3187946074544,5.627705627705628,0.1771511874665462,1.0017715118746655
CMP0104,Google Ads,North,Conversion,3190.74,31629,2234,282,21,5608.09,7.063138259192512,12.623097582811102,7.446808510638298,75.761422115246,1.7576142211524601
CMP0105,Youtube Ads,South,Awareness,3815.09,34189,1160,203,11,3560.19,3.39290415045775,17.5,5.41871921182266,-6.681362693933828,0.9331863730606618
CMP0106,Social Media,West,Awareness,2688.79,24763,1285,321,19,4822.5,5.189193554900457,24.980544747081712,5.919003115264798,79.35576969566236,1.7935576969566236
CMP0107,Google Ads,North,Awareness,3127.72,34948,880,203,12,3925.33,2.5180267826485063,23.068181818181817,5.911330049261084,25.50132364789688,1.2550132364789688
CMP0108,Instagram Ads,South,Consideration,2049.16,15487,933,192,11,2399.92,6.024407567637374,20.578778135048232,5.729166666666666,17.11725780319742,1.1711725780319742
CMP0109,Social Media,South,Consideration,3193.95,33101,2026,489,28,6346.62,6.120661007220326,24.136229022704836,5.725971370143149,98.70755647395859,1.987075564739586
CMP0110,Email,East,Awareness,2449.97,29277,1607,215,12,3016.99,5.48895037059808,13.378967019290602,5.5813953488372094,23.143956864777937,1.2314395686477795
CMP0111,Social Media,North,Conversion,2813.37,33005,1849,368,13,3010.39,5.602181487653386,19.902650081124932,3.532608695652174,7.002989297532852,1.0700298929753285
CMP0112,Email,North,Consideration,2109.52,20260,614,98,8,2303.56,3.0306021717670286,15.960912052117262,8.16326530612245,9.198301035306608,1.091983010353066
CMP0113,Youtube Ads,West,Consideration,3181.02,34409,2482,350,15,4632.92,7.213229097038565,14.101531023368253,4.285714285714286,45.64259262752199,1.45642592627522
CMP0114,Instagram Ads,East,Consideration,4001.21,37223,2207,498,21,5128.11,5.929129839077989,22.564567285908474,4.216867469879518,28.16398039593022,1.2816398039593022
CMP0115,Facebook Ads,East,Consideration,3691.29,32455,2643,440,17,4321.4,8.143583423201356,16.647748770336737,3.8636363636363633,17.07018413616919,1.1707018413616919
CMP0116,Youtube Ads,East,Consideration,2658.56,32039,1158,306,13,3576.83,3.614345017010519,26.42487046632124,4.248366013071895,34.540126986037556,1.3454012698603754
CMP0117,Instagram Ads,East,Awareness,2985.14,28720,1975,509,21,5583.79,6.876740947075209,25.772151898734176,4.12573673870334,87.05286854217893,1.8705286854217893
CMP0118,Social Media,North,Awareness,3297.51,25760,1805,430,27,5664.4,7.006987577639752,23.822714681440445,6.279069767441861,71.77809923245113,1.7177809923245113
CMP0119,Youtube Ads,North,Conversion,3829.69,32821,1306,369,14,3572.79,3.979159684348436,28.25421133231241,3.7940379403794036,-6.708114756024641,0.9329188524397536
CMP0120,Google Ads,South,Conversion,4046.02,46757,2430,631,28,8287.68,5.197082789742712,25.967078189300413,4.437400950871632,104.835369078749,2.04835369078749
CMP0121,Instagram Ads,South,Consideration,1690.91,15360,1213,150,9,2671.17,7.897135416666666,12.366034624896951,6.0,57.97233442347611,1.5797233442347611
CMP0122,Youtube Ads,East,Awareness,4520.6,46837,3803,492,21,5335.78,8.119648995452314,12.93715487772811,4.2682926829268295,18.032562049285477,1.1803256204928547
CMP0123,Social Media,East,Consideration,2857.42,23398,1378,280,17,4336.98,5.889392255748355,20.319303338171263,6.071428571428571,51.77957738099403,1.5177957738099404
CMP0124,Email,East,Consideration,1393.61,12677,403,59,4,975.35,3.178985564407983,14.640198511166252,6.779661016949152,-30.012700827347672,0.6998729917265233
CMP0125,Social Media,South,Awareness,2590.26,26266,837,230,12,2516.21,3.186629102261479,27.479091995221026,5.217391304347826,-2.8587863766571764,0.9714121362334283
CMP0126,Google Ads,West,Awareness,5068.37,57004,3284,442,27,7983.81,5.7609992281243425,13.45919610231425,6.108597285067873,57.52224087823108,1.5752224087823108
CMP0127,Instagram Ads,West,Conversion,3235.74,31625,1571,372,20,4358.98,4.967588932806325,23.679185232336092,5.376344086021505,34.713543115330644,1.3471354311533064
CMP0128,Youtube Ads,South,Conversion,4534.56,45685,3352,679,21,6379.87,7.337200394002408,20.25656324582339,3.0927835051546393,40.694356233019285,1.406943562330193
CMP0129,Email,South,Awareness,1590.71,12706,569,145,12,2875.73,4.478199275932631,25.48330404217926,8.275862068965518,80.78279510407302,1.8078279510407302
CMP0130,Google Ads,South,Awareness,3595.81,44109,3430,949,49,14322.74,7.776190800063479,27.667638483965014,5.163329820864067,298.31748618531014,3.9831748618531013
CMP0131,Google Ads,South,Awareness,4867.63,49806,2732,379,26,8578.53,5.485282897642854,13.872620790629576,6.860158311345646,76.2362792570512,1.7623627925705119
CMP0132,Social Media,South,Conversion,2464.97,22881,1636,480,18,4463.27,7.150037148726017,29.3398533007335,3.75,81.06792374755071,1.8106792374755072
CMP0133,Email,South,Awareness,2097.83,21954,1384,364,27,8215.38,6.304090370775257,26.300578034682083,7.417582417582418,291.61323844162774,3.9161323844162776
CMP0134,Social Media,East,Awareness,2199.34,22429,773,189,11,2536.69,3.4464309599179637,24.450194049159123,5.82010582010582,15.338692516845958,1.1533869251684596
CMP0135,Youtube Ads,East,Conversion,3664.99,29706,2336,555,19,5151.1,7.863731232747593,23.758561643835616,3.423423423423423,40.54881459430996,1.4054881459430997
CMP0136,Social Media,East,Awareness,2318.36,24787,743,207,12,2957.25,2.997539032557389,27.860026917900406,5.797101449275362,27.55784261288151,1.2755784261288152
CMP0137,Google Ads,East,Conversion,4139.79,53422,3476,814,40,13440.63,6.5066826401108155,23.417721518987342,4.914004914004914,224.66936728674645,3.246693672867464
CMP0138,Instagram Ads,South,Awareness,3244.28,31031,1077,131,7,1810.53,3.4707228255615354,12.163416898792944,5.343511450381679,-44.19316458505432,0.5580683541494569
CMP0139,Google Ads,West,Awareness,4638.2,34677,2388,367,29,9559.41,6.886408858897829,15.36850921273032,7.901907356948229,106.10172049501962,2.061017204950196
CMP0140,Youtube Ads,North,Awareness,4128.71,42297,2859,504,22,6757.18,6.7593446343712325,17.628541448058762,4.365079365079365,63.663226528382964,1.6366322652838297
CMP0141,Youtube Ads,South,Conversion,2410.46,24020,1794,323,11,3264.64,7.4687760199833475,18.004459308807135,3.4055727554179565,35.43638973473942,1.3543638973473942
CMP0142,Social Media,North,Conversion,2226.48,26619,826,134,5,1166.14,3.103046695969045,16.222760290556902,3.731343283582089,-47.624052315762995,0.52375947684237
CMP0143,Google Ads,West,Conversion,5421.22,59128,3681,675,52,15305.45,6.225476931403058,18.337408312958438,7.703703703703704,182.32482725290615,2.8232482725290615
CMP0144,Social Media,East,Consideration,2354.96,30319,1911,272,14,3238.32,6.302978330419869,14.23338566195709,5.147058823529411,37.51061589156504,1.3751061589156504
CMP0145,Social Media,West,Conversion,2290.92,18440,1407,226,13,2956.97,7.630151843817787,16.062544420753376,5.752212389380531,29.073472666003163,1.2907347266600318
CMP0146,Email,South,Conversion,1865.18,20250,1349,286,20,4807.01,6.661728395061727,21.200889547813194,6.993006993006993,157.7236513366002,2.5772365133660022
CMP0147,Facebook Ads,East,Awareness,3933.01,48089,3412,893,40,8281.68,7.095177691363929,26.172332942555688,4.479283314669653,110.5684958848312,2.105684958848312
CMP0148,Google Ads,South,Conversion,4335.76,53950,3519,777,36,10507.54,6.5227062094531965,22.08013640238704,4.633204633204633,142.3459785596989,2.423459785596989
CMP0149,Email,East,Awareness,2158.69,22191,1061,313,18,4670.13,4.781217610743093,29.5004712535344,5.7507987220447285,116.34092898934077,2.1634092898934076
CMP0150,Social Media,North,Awareness,2445.83,17737,1230,350,14,3865.41,6.934656368044201,28.455284552845526,4.0,58.040828675746056,1.5804082867574607
CMP0151,Youtube Ads,North,Awareness,4260.2,49093,3598,443,26,7752.43,7.32894710040128,12.312395775430796,5.8690744920993225,81.97338153138351,1.8197338153138352
CMP0152,Social Media,North,Awareness,2383.2,21040,1573,268,16,3415.31,7.476235741444867,17.037507946598858,5.970149253731343,43.30773749580397,1.4330773749580397
CMP0153,Email,West,Awareness,1919.0,14544,574,70,5,1242.08,3.946644664466447,12.195121951219512,7.142857142857142,-35.274622199062016,0.6472537780093799
CMP0154,Google Ads,South,Consideration,5589.67,59195,2535,441,32,8044.37,4.282456288537883,17.39644970414201,7.2562358276643995,43.914935944340186,1.4391493594434017
CMP0155,Youtube Ads,West,Consideration,4567.12,56421,2037,273,10,3045.88,3.610357845483065,13.402061855670103,3.6630036630036633,-33.308518278477464,0.6669148172152254
CMP0156,Social Media,North,Conversion,3269.78,23568,1413,422,25,6195.04,5.99541751527495,29.86553432413305,5.924170616113744,89.46351130657108,1.8946351130657106
CMP0157,Facebook Ads,South,Conversion,2999.08,22682,1804,433,21,5348.31,7.953443258971872,24.002217294900223,4.849884526558892,78.33168838443791,1.7833168838443791
CMP0158,Instagram Ads,North,Consideration,3128.72,32634,1829,361,17,4258.96,5.6045841760127475,19.737561509021322,4.7091412742382275,36.12467718427984,1.3612467718427985
CMP0159,Social Media,West,Awareness,2730.04,33730,1740,398,20,5074.05,5.158612511117699,22.873563218390807,5.025125628140704,85.85991414045216,1.8585991414045215
CMP0160,Instagram Ads,West,Consideration,3741.78,41967,1647,349,13,3199.88,3.9245121166630925,21.19004250151791,3.7249283667621778,-14.482412114020601,0.855175878859794
CMP0161,Google Ads,West,Consideration,5841.23,74202,4529,1149,73,22692.89,6.103609067141048,25.369838816515788,6.353350739773717,288.4950601157633,3.884950601157633
CMP0162,Facebook Ads,North,Awareness,3486.03,25885,1042,192,8,1524.12,4.02549739231215,18.426103646833013,4.166666666666666,-56.27920585881361,0.43720794141186387
CMP0163,Facebook Ads,South,Consideration,3321.81,42616,1912,395,13,3042.39,4.486577811150742,20.65899581589958,3.2911392405063293,-8.411679174907658,0.9158832082509234
CMP0164,Google Ads,South,Consideration,3676.53,31927,1194,254,11,2720.06,3.7397813762646037,21.273031825795645,4.330708661417323,-26.015563588492412,0.7398443641150758
CMP0165,Email,North,Consideration,1699.82,20084,1191,252,17,5198.42,5.930093606851225,21.158690176322416,6.746031746031746,205.8217928957184,3.058217928957184
CMP0166,Instagram Ads,South,Consideration,2593.84,24335,735,169,7,1698.95,3.0203410725292787,22.993197278911566,4.142011834319527,-34.50058600376276,0.6549941399623723
CMP0167,Social Media,North,Awareness,2984.2,29726,1995,595,21,4768.63,6.711296508107381,29.82456140350877,3.5294117647058822,59.7959252060854,1.5979592520608539
CMP0168,Social Media,South,Conversion,2509.59,23508,1182,229,14,3695.7,5.028075548749362,19.37394247038917,6.11353711790393,47.263098753182774,1.4726309875318278
CMP0169,Email,East,Conversion,1287.69,15378,1265,338,18,5020.43,8.226037195994278,26.71936758893281,5.325443786982249,289.8787751710427,3.8987877517104272
CMP0170,Facebook Ads,East,Awareness,4179.98,30542,1235,161,7,1679.07,4.043612075175169,13.036437246963562,4.3478260869565215,-59.83066904626339,0.40169330953736626
CMP0171,Facebook Ads,West,Conversion,3425.99,33360,1572,222,8,1958.73,4.712230215827338,14.122137404580155,3.6036036036036037,-42.8273287429327,0.5717267125706731
CMP0172,Email,East,Consideration,1511.25,11222,334,61,6,1691.04,2.976296560327927,18.263473053892216,9.836065573770492,11.896774193548385,1.1189677419354838
